date,state,total_cases,total_deaths
19/4/2020,KELANTAN,155,3
19/4/2020,SABAH,306,4
19/4/2020,SARAWAK,408,14
19/4/2020,WP KUALA LUMPUR,1004,21
19/4/2020,WP PUTRAJAYA,64,0
19/4/2020,WP LABUAN,16,0
20/4/2020,PERLIS,18,1
20/4/2020,KEDAH,94,1
20/4/2020,PULAU PINANG,119,1
20/4/2020,PERAK,252,6
20/4/2020,SELANGOR,1345,7
20/4/2020,NEGERI SEMBILAN,408,7
20/4/2020,MELAKA,187,4
20/4/2020,JOHOR,644,16
20/4/2020,PAHANG,271,2
20/4/2020,TERENGGANU,109,1
20/4/2020,KELANTAN,155,3
20/4/2020,SABAH,308,4
20/4/2020,SARAWAK,414,14
20/4/2020,WP KUALA LUMPUR,1008,21
20/4/2020,WP PUTRAJAYA,77,0
20/4/2020,WP LABUAN,16,0
21/4/2020,PERLIS,18,1
21/4/2020,KEDAH,94,1
21/4/2020,PULAU PINANG,119,1
21/4/2020,PERAK,252,6
21/4/2020,SELANGOR,1356,8
21/4/2020,NEGERI SEMBILAN,409,7
21/4/2020,MELAKA,188,4
21/4/2020,JOHOR,645,16
21/4/2020,PAHANG,279,2
21/4/2020,TERENGGANU,109,1
21/4/2020,KELANTAN,155,3
21/4/2020,SABAH,308,4
21/4/2020,SARAWAK,436,15
21/4/2020,WP KUALA LUMPUR,1021,22
21/4/2020,WP PUTRAJAYA,77,0
21/4/2020,WP LABUAN,16,0
22/4/2020,PERLIS,18,1
22/4/2020,KEDAH,95,1
22/4/2020,PULAU PINANG,119,1
22/4/2020,PERAK,252,6
22/4/2020,SELANGOR,1357,8
22/4/2020,NEGERI SEMBILAN,411,7
22/4/2020,MELAKA,189,4
22/4/2020,JOHOR,648,16
22/4/2020,PAHANG,285,2
22/4/2020,TERENGGANU,109,1
22/4/2020,KELANTAN,155,3
22/4/2020,SABAH,308,4
22/4/2020,SARAWAK,455,16
22/4/2020,WP KUALA LUMPUR,1037,22
22/4/2020,WP PUTRAJAYA,78,0
22/4/2020,WP LABUAN,16,0
23/4/2020,PERLIS,18,1
23/4/2020,KEDAH,95,1
23/4/2020,PULAU PINANG,119,1
23/4/2020,PERAK,252,6
23/4/2020,SELANGOR,1369,8
23/4/2020,NEGERI SEMBILAN,431,7
23/4/2020,MELAKA,189,4
23/4/2020,JOHOR,651,17
23/4/2020,PAHANG,286,3
23/4/2020,TERENGGANU,110,1
23/4/2020,KELANTAN,155,3
23/4/2020,SABAH,309,4
23/4/2020,SARAWAK,459,16
23/4/2020,WP KUALA LUMPUR,1066,22
23/4/2020,WP PUTRAJAYA,78,0
23/4/2020,WP LABUAN,16,0
24/4/2020,PERLIS,18,1
24/4/2020,KEDAH,95,1
24/4/2020,PULAU PINANG,119,1
24/4/2020,PERAK,252,6
24/4/2020,SELANGOR,1387,9
24/4/2020,NEGERI SEMBILAN,433,7
24/4/2020,MELAKA,192,4
24/4/2020,JOHOR,655,17
24/4/2020,PAHANG,287,3
24/4/2020,TERENGGANU,110,1
24/4/2020,KELANTAN,155,3
24/4/2020,SABAH,311,4
24/4/2020,SARAWAK,468,16
24/4/2020,WP KUALA LUMPUR,1115,22
